"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.88358,0.91835,0.82643,0.68473,1.046,0.97375,0.91615,1.4301,1.0904,0.8348,0.95197,0.98754,0.87686,0.47657,0.82823,0.72409,0.33288,0.69689,1.8208,0.83726,0.73424,1.1364,2032
0.8546,0.86899,0.79773,0.54427,0.94494,1.0274,1.0255,1.5785,1.1945,0.76032,0.91501,0.8448,0.5966,0.48905,0.89522,0.51011,0.32232,0.59852,1.466,0.80519,0.95846,0.87121,2033
0.8585,0.57801,0.33501,0.64402,0.81547,0.76284,0.88189,1.4195,0.79017,0.74248,0.88556,0.90143,0.60377,0.6847,0.75593,0.37386,0.55138,0.63937,1.5625,1.0325,1.209,1.2148,2034
0.77959,1.095,0.59585,0.59573,0.87883,1.0209,1.062,1.5632,1.0098,0.86797,0.89771,0.87919,0.68644,0.61453,0.80264,0.54906,0.50154,0.5605,1.6567,0.97838,0.95494,0.96273,2035
0.75995,0.77708,0.49216,0.60811,1.0562,0.86551,0.95472,1.3557,1.1452,0.8466,0.9158,0.88445,0.6275,0.57194,0.76478,0.56868,0.34735,0.52816,1.5753,0.87048,1.0967,1.2582,2036
0.82568,1.1436,0.74143,0.57116,0.99292,1.218,0.78059,1.3488,1.0751,0.92547,1.0775,0.88617,0.72292,0.37079,0.95651,0.62563,0.48216,0.48761,1.6042,0.90543,1.3401,1.1283,2037
0.87396,0.95465,0.62358,0.83464,0.80726,1.101,1.1682,1.4465,1.0091,0.85917,0.87805,0.79579,0.67733,0.55565,0.96241,0.55708,0.41337,0.5612,2.0175,0.93924,0.9918,1.1362,2038
0.89103,0.98957,0.69694,0.67161,1.1715,1.0714,1.0321,1.5652,1.0786,0.93476,0.87316,0.80762,0.5264,0.58257,0.75486,0.54576,0.32795,0.55932,1.4019,0.93521,0.83118,0.86103,2039
0.91155,0.72573,0.77409,0.40322,0.97778,1.0041,1.1933,1.1361,0.76904,0.97054,1.0359,0.69697,0.80177,0.75141,0.80579,0.53318,0.48757,0.56276,1.6543,0.81144,0.98907,0.87448,2040
0.80787,1.0056,0.72817,0.73556,0.95283,1.0764,1.1163,1.4783,1.0583,0.84185,0.72779,0.69875,0.5142,0.60097,0.90277,0.27851,0.51848,0.55391,1.652,0.86823,0.94384,1.1201,2041
0.68764,0.84837,0.45095,0.67516,0.97051,1.2494,1.0388,1.5142,1.0029,0.87153,0.93781,0.68579,0.91156,0.63765,0.96591,0.51208,0.5812,0.38516,1.3557,0.76148,0.69772,0.76725,2042
0.90601,0.93032,0.69563,0.74671,0.92414,0.96131,0.99251,1.4215,0.7312,0.88176,0.80836,0.72104,0.81669,0.49279,0.81884,0.43146,0.52316,0.54677,1.713,0.81477,0.55538,1.0849,2043
0.99425,1.0218,0.82071,0.69871,0.82281,0.99584,1.0093,1.3008,0.96534,0.87369,0.85453,0.82977,0.77268,0.52208,0.89313,0.65434,0.46583,0.51377,1.8049,0.86047,0.99977,1.0457,2044
0.79451,0.95685,0.80384,0.71139,0.83141,0.71965,0.97911,1.692,0.87627,1.0264,0.74857,0.63556,0.70386,0.66454,0.87112,0.55262,0.51641,0.64575,1.8033,1.0467,0.90113,1.4076,2045
0.74034,0.93411,0.75611,0.56381,1.06,0.92297,1.2142,1.6105,1.02,0.79379,0.97008,0.84526,0.83953,0.6168,0.77865,0.38661,0.63276,0.42692,1.6196,1.0853,1.1038,1.2288,2046
0.86631,0.86185,0.68768,0.68396,1.046,1.0903,1.1538,1.445,0.90002,0.90393,0.95404,0.76987,0.69305,0.68357,0.82858,0.44864,0.66741,0.58581,1.7271,0.81146,0.99839,1.1148,2047
0.95305,0.90951,0.88003,0.6047,1.231,0.87988,1.247,1.4745,1.1521,0.83881,0.95398,0.83907,0.85029,0.61501,0.86696,0.55672,0.64583,0.32729,1.8242,1.1068,0.97083,1.1289,2048
0.89945,0.90319,0.78629,0.42274,1.0674,0.88164,1.1149,1.5218,1.0673,0.83476,0.93749,0.58748,0.6315,0.62321,0.65634,0.47154,0.58953,0.41937,1.7083,0.96626,0.79565,1.1668,2049
0.76547,0.88092,0.58239,0.75618,0.97878,1.0443,1.0721,1.4414,1.3091,0.95924,1.0846,0.75144,0.69792,0.58106,0.85099,0.37702,0.35949,0.40847,1.8456,1.2221,0.90815,0.9742,2050
0.92163,0.94064,0.47492,0.72327,0.98862,0.91091,1.0803,1.6331,1.1282,0.7771,0.94918,0.77697,0.83097,0.56467,0.82916,0.36529,0.41851,0.5519,1.4887,0.95766,0.92687,1.212,2051
0.91235,0.90697,0.84135,0.64787,0.87884,1.0758,0.99834,1.3214,0.9682,0.99698,0.93946,0.92575,0.75036,0.53925,0.86136,0.35117,0.36232,0.60617,1.6676,0.96438,0.70739,0.97492,2052
0.82585,0.76716,0.55395,0.73678,0.94231,1.0281,1.1522,1.4654,1.1143,1.0476,0.7968,0.76023,0.86738,0.764,1.073,0.48168,0.53534,0.49821,1.6697,1.0407,0.8377,1.1356,2053
0.91419,0.91175,0.57521,0.51964,0.86016,0.95845,0.80636,1.4525,0.93398,0.92352,0.86385,0.85632,0.90198,0.85657,0.92451,0.53778,0.67817,0.47443,1.3881,0.99754,1.3067,0.92781,2054
0.94347,0.70757,0.6815,0.67502,0.83953,1.0087,1.2599,1.1868,0.80314,1.0624,1.0127,0.83966,0.82401,0.57794,0.8843,0.67905,0.32881,0.65416,1.7419,0.99614,1.057,0.80368,2055
0.88255,1.0198,0.6777,0.61336,1.208,0.97475,1.2748,1.3619,1.1143,0.79816,1.0459,0.65096,0.67678,0.6179,0.75367,0.49456,0.58128,0.51393,1.9151,0.94923,0.93944,1.09,2056
0.85202,0.96332,0.63236,0.57753,1.0788,1.0651,1.1826,1.6803,1.0291,0.91148,1.0199,0.78229,0.86317,0.43341,0.95826,0.485,0.4719,0.53156,1.6285,0.72237,1.0873,1.1225,2057
1.0333,1.066,0.5534,0.59305,0.93441,0.79453,1.1885,1.5197,0.98253,1.0207,0.85254,0.89316,0.73894,0.69749,0.93797,0.27281,0.47845,0.64127,1.3604,0.83385,0.88018,1.2858,2058
0.8487,0.82706,0.87417,0.76078,0.86989,0.98825,1.1713,1.4342,1.097,0.75654,0.93243,0.81791,0.75392,0.64595,0.91727,0.35732,0.58652,0.49889,1.6249,0.89748,1.0726,1.1756,2059
0.75912,0.97438,0.77259,0.67669,1.0282,1.1953,1.1792,1.4997,1.0203,0.81583,0.96699,0.78082,0.78999,0.71318,0.9716,0.76143,0.56538,0.48434,1.3197,0.97875,1.1895,1.245,2060
0.9313,0.76076,0.84773,0.63688,0.88157,1.2052,1.0698,1.1803,1.1224,1.0424,0.89151,0.78528,0.89571,0.68093,1.0379,0.36952,0.56011,0.49494,1.6047,0.76261,0.91198,1.132,2061
1.0447,0.84349,0.57738,0.79981,1.175,0.97125,0.98635,1.4484,0.90847,1.0737,0.91168,0.79716,0.75916,0.58194,0.95434,0.62479,0.54943,0.44218,1.4049,0.79745,1.0777,1.1088,2062
0.95939,0.88448,0.63747,0.60639,1.0254,1.1223,0.93565,1.5376,1.0393,0.97172,0.79748,0.82243,0.95757,0.70361,0.86367,0.22933,0.62246,0.60062,1.2487,0.92442,0.97218,1.0246,2063
0.8093,1.1354,0.64561,0.64268,0.76755,1.1603,1.2202,1.5154,1.1061,0.85549,0.99001,0.82157,0.8003,0.60424,0.94403,0.26103,0.332,0.6157,1.915,0.98344,1.2778,1.1539,2064
0.6029,0.868,0.78031,0.74031,0.98064,0.94216,1.1854,1.4241,0.97767,0.94341,0.96938,0.76559,0.84345,0.58684,0.95007,0.6082,0.72014,0.54671,1.5812,1.0324,1.0595,1.0476,2065
0.93162,0.86593,0.81334,0.72714,1.1116,1.0173,1.259,1.4863,0.92677,0.9988,0.91066,0.6734,0.74431,0.58754,1.0008,0.57336,0.49699,0.55185,1.7687,1.1896,0.99909,1.1956,2066
0.93945,0.88553,0.81744,0.4977,1.2871,1.0996,0.98626,1.1142,1.1425,0.82391,1.0286,0.72096,0.90098,0.61434,0.85545,0.52446,0.4924,0.3901,1.6892,0.91217,1.052,0.85116,2067
0.93899,1.0147,0.62664,0.53905,0.98156,0.92586,0.79017,1.7138,1.1341,0.89097,0.90241,0.68293,0.85531,0.77706,0.95462,0.60433,0.79961,0.36416,1.5846,0.75227,0.89645,1.0302,2068
1.0733,0.9111,0.68621,0.65452,1.236,1.0228,0.89312,1.6233,0.7432,1.1547,0.84631,0.97645,0.83347,0.55825,0.91193,0.39905,0.58954,0.43221,1.5097,1.0742,1.1551,1.2627,2069
